Event_id,Timestamp,Activity,PickupPlan,Cargo,Truck
Lodge_Pcp56,2024-04-29 16:47:21,Lodge Pickup Plan,['Pcp56'],['Cr11'],
Lodge_Pcp17,2024-04-29 16:51:51,Lodge Pickup Plan,['Pcp17'],['Cr17'],
Lodge_Pcp14,2024-04-29 16:57:21,Lodge Pickup Plan,['Pcp14'],['Cr4'],
Lodge_Pcp3,2024-04-29 16:57:25,Lodge Pickup Plan,['Pcp3'],['Cr16'],
Lodge_Pcp25,2024-04-29 17:04:01,Lodge Pickup Plan,['Pcp25'],['Cr12'],
Lodge_Pcp51,2024-04-29 17:12:46,Lodge Pickup Plan,['Pcp51'],['Cr18'],
Lodge_Pcp96,2024-04-29 17:13:30,Lodge Pickup Plan,['Pcp96'],['Cr8'],
Lodge_Pcp11,2024-04-29 17:13:44,Lodge Pickup Plan,['Pcp11'],['Cr19'],
Lodge_Pcp92,2024-04-29 17:55:20,Lodge Pickup Plan,['Pcp92'],['Cr2'],
Lodge_Pcp85,2024-04-29 19:09:02,Lodge Pickup Plan,['Pcp85'],['Cr3'],
Lodge_Pcp80,2024-04-29 19:34:21,Lodge Pickup Plan,['Pcp80'],['Cr9'],
Lodge_Pcp88,2024-04-30 07:40:40,Lodge Pickup Plan,['Pcp88'],['Cr7'],
Lodge_Pcp78,2024-04-30 08:14:40,Lodge Pickup Plan,['Pcp78'],['Cr5'],
Lodge_Pcp61,2024-04-30 08:21:24,Lodge Pickup Plan,['Pcp61'],['Cr4'],
Lodge_Pcp57,2024-04-30 08:27:54,Lodge Pickup Plan,['Pcp57'],['Cr1'],
Lodge_Pcp32,2024-04-30 08:54:41,Lodge Pickup Plan,['Pcp32'],['Cr6'],
Lodge_Pcp58,2024-04-30 09:02:13,Lodge Pickup Plan,['Pcp58'],['Cr11'],
Lodge_Pcp70,2024-04-30 09:11:03,Lodge Pickup Plan,['Pcp70'],['Cr10'],
Lodge_Pcp37,2024-04-30 09:33:26,Lodge Pickup Plan,['Pcp37'],['Cr20'],
Lodge_Pcp75,2024-04-30 09:48:21,Lodge Pickup Plan,['Pcp75'],['Cr14'],
Lodge_Pcp62,2024-04-30 11:13:27,Lodge Pickup Plan,['Pcp62'],['Cr15'],
Lodge_Pcp50,2024-04-30 11:14:56,Lodge Pickup Plan,['Pcp50'],['Cr17'],
Lodge_Pcp77,2024-04-30 12:06:41,Lodge Pickup Plan,['Pcp77'],['Cr13'],
assign_tr26_Pcp44,2024-05-01 08:05:48,Assign Truck,,,['tr26']
assign_tr49_Pcp44,2024-05-01 08:08:49,Assign Truck,,,['tr49']
weigh_empty_truck_Pcp44_tr26,2024-05-01 08:11:16,Weigh the Empty Truck,,,['tr26']
load_truck_Pcp44_tr26,2024-05-01 08:12:25,Load Truck,,,['tr26']
weigh_empty_truck_Pcp44_tr49,2024-05-01 08:13:08,Weigh the Empty Truck,,,['tr49']
assign_tr41_Pcp87,2024-05-01 08:13:40,Assign Truck,,,['tr41']
load_truck_Pcp44_tr49,2024-05-01 08:13:56,Load Truck,,,['tr49']
assign_tr22_Pcp87,2024-05-01 08:15:10,Assign Truck,,,['tr22']
weigh_empty_truck_Pcp87_tr41,2024-05-01 08:17:20,Weigh the Empty Truck,,,['tr41']
load_truck_Pcp87_tr41,2024-05-01 08:19:08,Load Truck,,,['tr41']
weigh_empty_truck_Pcp87_tr22,2024-05-01 08:20:50,Weigh the Empty Truck,,,['tr22']
load_truck_Pcp87_tr22,2024-05-01 08:22:55,Load Truck,,,['tr22']
weigh_loaded_truck_Pcp44_tr49,2024-05-01 08:31:53,Weigh the Loaded Truck,,,['tr49']
assign_tr11_Pcp48,2024-05-01 08:32:57,Assign Truck,,,['tr11']
assign_tr4_Pcp48,2024-05-01 08:33:10,Assign Truck,,,['tr4']
weigh_loaded_truck_Pcp87_tr41,2024-05-01 08:33:25,Weigh the Loaded Truck,,,['tr41']
assign_tr19_Pcp55,2024-05-01 08:33:56,Assign Truck,,,['tr19']
weigh_empty_truck_Pcp48_tr4,2024-05-01 08:33:56,Weigh the Empty Truck,,,['tr4']
assign_tr30_Pcp55,2024-05-01 08:34:12,Assign Truck,,,['tr30']
load_truck_Pcp48_tr4,2024-05-01 08:34:57,Load Truck,,,['tr4']
input_tally_sheet_Pcp44_tr49,2024-05-01 08:36:53,Input the Tally Sheet,,,['tr49']
print_w_ticket_Pcp44_tr49,2024-05-01 08:36:53,Print the Weighing Ticket,,,['tr49']
print_w_ticket_Pcp87_tr41,2024-05-01 08:37:00,Print the Weighing Ticket,,,['tr41']
input_tally_sheet_Pcp87_tr41,2024-05-01 08:37:00,Input the Tally Sheet,,,['tr41']
eval_trs_exit_tr49_Pcp44,2024-05-01 08:38:36,Evaluate the Truck Exit,,,['tr49']
weigh_empty_truck_Pcp55_tr30,2024-05-01 08:39:42,Weigh the Empty Truck,,,['tr30']
eval_trs_exit_tr41_Pcp87,2024-05-01 08:39:43,Evaluate the Truck Exit,,,['tr41']
assign_tr10_Pcp69,2024-05-01 08:40:27,Assign Truck,,,['tr10']
weigh_empty_truck_Pcp55_tr19,2024-05-01 08:40:35,Weigh the Empty Truck,,,['tr19']
assign_tr14_Pcp69,2024-05-01 08:40:47,Assign Truck,,,['tr14']
load_truck_Pcp55_tr30,2024-05-01 08:41:44,Load Truck,,,['tr30']
weigh_empty_truck_Pcp69_tr10,2024-05-01 08:42:14,Weigh the Empty Truck,,,['tr10']
load_truck_Pcp55_tr19,2024-05-01 08:42:25,Load Truck,,,['tr19']
load_truck_Pcp69_tr10,2024-05-01 08:43:42,Load Truck,,,['tr10']
weigh_empty_truck_Pcp48_tr11,2024-05-01 08:46:13,Weigh the Empty Truck,,,['tr11']
load_truck_Pcp48_tr11,2024-05-01 08:47:19,Load Truck,,,['tr11']
assign_tr18_Pcp18,2024-05-01 08:47:38,Assign Truck,,,['tr18']
assign_tr24_Pcp18,2024-05-01 08:47:58,Assign Truck,,,['tr24']
weigh_empty_truck_Pcp69_tr14,2024-05-01 08:49:03,Weigh the Empty Truck,,,['tr14']
weigh_loaded_truck_Pcp55_tr19,2024-05-01 08:50:17,Weigh the Loaded Truck,,,['tr19']
load_truck_Pcp69_tr14,2024-05-01 08:50:27,Load Truck,,,['tr14']
weigh_empty_truck_Pcp18_tr24,2024-05-01 08:50:27,Weigh the Empty Truck,,,['tr24']
weigh_empty_truck_Pcp18_tr18,2024-05-01 08:51:25,Weigh the Empty Truck,,,['tr18']
load_truck_Pcp18_tr24,2024-05-01 08:52:00,Load Truck,,,['tr24']
load_truck_Pcp18_tr18,2024-05-01 08:52:47,Load Truck,,,['tr18']
print_w_ticket_Pcp55_tr19,2024-05-01 08:53:28,Print the Weighing Ticket,,,['tr19']
input_tally_sheet_Pcp55_tr19,2024-05-01 08:53:28,Input the Tally Sheet,,,['tr19']
eval_trs_exit_tr19_Pcp55,2024-05-01 08:54:01,Evaluate the Truck Exit,,,['tr19']
assign_tr48_Pcp21,2024-05-01 09:00:17,Assign Truck,,,['tr48']
assign_tr33_Pcp21,2024-05-01 09:01:55,Assign Truck,,,['tr33']
weigh_empty_truck_Pcp21_tr33,2024-05-01 09:03:37,Weigh the Empty Truck,,,['tr33']
load_truck_Pcp21_tr33,2024-05-01 09:04:31,Load Truck,,,['tr33']
weigh_empty_truck_Pcp21_tr48,2024-05-01 09:06:23,Weigh the Empty Truck,,,['tr48']
load_truck_Pcp21_tr48,2024-05-01 09:06:57,Load Truck,,,['tr48']
assign_tr8_Pcp74,2024-05-01 09:08:12,Assign Truck,,,['tr8']
assign_tr43_Pcp74,2024-05-01 09:08:37,Assign Truck,,,['tr43']
assign_tr12_Pcp23,2024-05-01 09:08:58,Assign Truck,,,['tr12']
assign_tr41_Pcp23,2024-05-01 09:08:58,Assign Truck,,,['tr41']
weigh_empty_truck_Pcp23_tr12,2024-05-01 09:10:21,Weigh the Empty Truck,,,['tr12']
weigh_empty_truck_Pcp23_tr41,2024-05-01 09:10:24,Weigh the Empty Truck,,,['tr41']
weigh_loaded_truck_Pcp87_tr22,2024-05-01 09:10:58,Weigh the Loaded Truck,,,['tr22']
load_truck_Pcp23_tr41,2024-05-01 09:10:59,Load Truck,,,['tr41']
weigh_empty_truck_Pcp74_tr8,2024-05-01 09:11:27,Weigh the Empty Truck,,,['tr8']
load_truck_Pcp74_tr8,2024-05-01 09:12:06,Load Truck,,,['tr8']
load_truck_Pcp23_tr12,2024-05-01 09:12:06,Load Truck,,,['tr12']
assign_tr40_Pcp39,2024-05-01 09:12:37,Assign Truck,,,['tr40']
assign_tr36_Pcp39,2024-05-01 09:13:29,Assign Truck,,,['tr36']
weigh_empty_truck_Pcp39_tr36,2024-05-01 09:14:17,Weigh the Empty Truck,,,['tr36']
load_truck_Pcp39_tr36,2024-05-01 09:15:02,Load Truck,,,['tr36']
weigh_empty_truck_Pcp39_tr40,2024-05-01 09:17:17,Weigh the Empty Truck,,,['tr40']
weigh_empty_truck_Pcp74_tr43,2024-05-01 09:17:27,Weigh the Empty Truck,,,['tr43']
weigh_loaded_truck_Pcp18_tr24,2024-05-01 09:17:59,Weigh the Loaded Truck,,,['tr24']
load_truck_Pcp39_tr40,2024-05-01 09:18:28,Load Truck,,,['tr40']
load_truck_Pcp74_tr43,2024-05-01 09:18:48,Load Truck,,,['tr43']
weigh_loaded_truck_Pcp23_tr41,2024-05-01 09:19:13,Weigh the Loaded Truck,,,['tr41']
assign_tr37_Pcp41,2024-05-01 09:19:35,Assign Truck,,,['tr37']
assign_tr47_Pcp41,2024-05-01 09:19:45,Assign Truck,,,['tr47']
weigh_loaded_truck_Pcp21_tr48,2024-05-01 09:20:48,Weigh the Loaded Truck,,,['tr48']
weigh_empty_truck_Pcp41_tr37,2024-05-01 09:21:04,Weigh the Empty Truck,,,['tr37']
weigh_empty_truck_Pcp41_tr47,2024-05-01 09:22:07,Weigh the Empty Truck,,,['tr47']
input_tally_sheet_Pcp87_tr22,2024-05-01 09:22:11,Input the Tally Sheet,,,['tr22']
print_w_ticket_Pcp87_tr22,2024-05-01 09:22:11,Print the Weighing Ticket,,,['tr22']
load_truck_Pcp41_tr37,2024-05-01 09:22:23,Load Truck,,,['tr37']
weigh_loaded_truck_Pcp44_tr26,2024-05-01 09:22:25,Weigh the Loaded Truck,,,['tr26']
load_truck_Pcp41_tr47,2024-05-01 09:22:54,Load Truck,,,['tr47']
input_tally_sheet_Pcp21_tr48,2024-05-01 09:23:02,Input the Tally Sheet,,,['tr48']
print_w_ticket_Pcp21_tr48,2024-05-01 09:23:02,Print the Weighing Ticket,,,['tr48']
input_tally_sheet_Pcp23_tr41,2024-05-01 09:23:10,Input the Tally Sheet,,,['tr41']
print_w_ticket_Pcp23_tr41,2024-05-01 09:23:10,Print the Weighing Ticket,,,['tr41']
eval_trs_exit_tr48_Pcp21,2024-05-01 09:24:18,Evaluate the Truck Exit,,,['tr48']
eval_trs_exit_tr22_Pcp87,2024-05-01 09:24:34,Evaluate the Truck Exit,,,['tr22']
eval_trs_exit_tr41_Pcp23,2024-05-01 09:24:35,Evaluate the Truck Exit,,,['tr41']
input_tally_sheet_Pcp18_tr24,2024-05-01 09:26:21,Input the Tally Sheet,,,['tr24']
print_w_ticket_Pcp18_tr24,2024-05-01 09:26:21,Print the Weighing Ticket,,,['tr24']
weigh_loaded_truck_Pcp69_tr14,2024-05-01 09:26:25,Weigh the Loaded Truck,,,['tr14']
assign_tr20_Pcp29,2024-05-01 09:26:26,Assign Truck,,,['tr20']
input_tally_sheet_Pcp44_tr26,2024-05-01 09:26:37,Input the Tally Sheet,,,['tr26']
print_w_ticket_Pcp44_tr26,2024-05-01 09:26:37,Print the Weighing Ticket,,,['tr26']
eval_trs_exit_tr24_Pcp18,2024-05-01 09:27:22,Evaluate the Truck Exit,,,['tr24']
weigh_loaded_truck_Pcp69_tr10,2024-05-01 09:27:30,Weigh the Loaded Truck,,,['tr10']
assign_tr49_Pcp29,2024-05-01 09:27:39,Assign Truck,,,['tr49']
eval_trs_exit_tr26_Pcp44,2024-05-01 09:28:24,Evaluate the Truck Exit,,,['tr26']
input_tally_sheet_Pcp69_tr10,2024-05-01 09:29:20,Input the Tally Sheet,,,['tr10']
print_w_ticket_Pcp69_tr10,2024-05-01 09:29:20,Print the Weighing Ticket,,,['tr10']
weigh_loaded_truck_Pcp18_tr18,2024-05-01 09:29:40,Weigh the Loaded Truck,,,['tr18']
assign_tr3_Pcp81,2024-05-01 09:30:31,Assign Truck,,,['tr3']
assign_tr44_Pcp81,2024-05-01 09:30:51,Assign Truck,,,['tr44']
assign_tr6_Pcp36,2024-05-01 09:31:08,Assign Truck,,,['tr6']
eval_trs_exit_tr10_Pcp69,2024-05-01 09:31:23,Evaluate the Truck Exit,,,['tr10']
input_tally_sheet_Pcp69_tr14,2024-05-01 09:31:26,Input the Tally Sheet,,,['tr14']
print_w_ticket_Pcp69_tr14,2024-05-01 09:31:26,Print the Weighing Ticket,,,['tr14']
weigh_empty_truck_Pcp81_tr3,2024-05-01 09:32:05,Weigh the Empty Truck,,,['tr3']
input_tally_sheet_Pcp18_tr18,2024-05-01 09:32:15,Input the Tally Sheet,,,['tr18']
print_w_ticket_Pcp18_tr18,2024-05-01 09:32:15,Print the Weighing Ticket,,,['tr18']
assign_tr27_Pcp36,2024-05-01 09:32:17,Assign Truck,,,['tr27']
weigh_empty_truck_Pcp29_tr20,2024-05-01 09:32:21,Weigh the Empty Truck,,,['tr20']
assign_tr2_Pcp22,2024-05-01 09:32:38,Assign Truck,,,['tr2']
load_truck_Pcp81_tr3,2024-05-01 09:32:45,Load Truck,,,['tr3']
load_truck_Pcp29_tr20,2024-05-01 09:33:00,Load Truck,,,['tr20']
eval_trs_exit_tr18_Pcp18,2024-05-01 09:33:07,Evaluate the Truck Exit,,,['tr18']
eval_trs_exit_tr14_Pcp69,2024-05-01 09:33:15,Evaluate the Truck Exit,,,['tr14']
weigh_empty_truck_Pcp36_tr27,2024-05-01 09:33:39,Weigh the Empty Truck,,,['tr27']
weigh_loaded_truck_Pcp39_tr36,2024-05-01 09:33:47,Weigh the Loaded Truck,,,['tr36']
weigh_empty_truck_Pcp29_tr49,2024-05-01 09:34:21,Weigh the Empty Truck,,,['tr49']
assign_tr31_Pcp22,2024-05-01 09:34:21,Assign Truck,,,['tr31']
load_truck_Pcp36_tr27,2024-05-01 09:34:44,Load Truck,,,['tr27']
weigh_empty_truck_Pcp22_tr2,2024-05-01 09:35:11,Weigh the Empty Truck,,,['tr2']
weigh_loaded_truck_Pcp48_tr11,2024-05-01 09:36:04,Weigh the Loaded Truck,,,['tr11']
weigh_empty_truck_Pcp81_tr44,2024-05-01 09:37:13,Weigh the Empty Truck,,,['tr44']
load_truck_Pcp22_tr2,2024-05-01 09:37:31,Load Truck,,,['tr2']
load_truck_Pcp81_tr44,2024-05-01 09:38:28,Load Truck,,,['tr44']
input_tally_sheet_Pcp48_tr11,2024-05-01 09:38:51,Input the Tally Sheet,,,['tr11']
print_w_ticket_Pcp48_tr11,2024-05-01 09:38:51,Print the Weighing Ticket,,,['tr11']
load_truck_Pcp29_tr49,2024-05-01 09:39:26,Load Truck,,,['tr49']
weigh_empty_truck_Pcp36_tr6,2024-05-01 09:39:37,Weigh the Empty Truck,,,['tr6']
load_truck_Pcp36_tr6,2024-05-01 09:40:11,Load Truck,,,['tr6']
weigh_loaded_truck_Pcp23_tr12,2024-05-01 09:42:34,Weigh the Loaded Truck,,,['tr12']
weigh_empty_truck_Pcp22_tr31,2024-05-01 09:43:03,Weigh the Empty Truck,,,['tr31']
input_tally_sheet_Pcp39_tr36,2024-05-01 09:43:39,Input the Tally Sheet,,,['tr36']
print_w_ticket_Pcp39_tr36,2024-05-01 09:43:39,Print the Weighing Ticket,,,['tr36']
eval_trs_exit_tr11_Pcp48,2024-05-01 09:43:44,Evaluate the Truck Exit,,,['tr11']
weigh_loaded_truck_Pcp81_tr3,2024-05-01 09:43:44,Weigh the Loaded Truck,,,['tr3']
load_truck_Pcp22_tr31,2024-05-01 09:43:45,Load Truck,,,['tr31']
eval_trs_exit_tr36_Pcp39,2024-05-01 09:44:29,Evaluate the Truck Exit,,,['tr36']
weigh_loaded_truck_Pcp29_tr20,2024-05-01 09:44:35,Weigh the Loaded Truck,,,['tr20']
assign_tr10_Pcp28,2024-05-01 09:47:08,Assign Truck,,,['tr10']
assign_tr25_Pcp59,2024-05-01 09:47:32,Assign Truck,,,['tr25']
weigh_empty_truck_Pcp59_tr25,2024-05-01 09:48:10,Weigh the Empty Truck,,,['tr25']
assign_tr23_Pcp59,2024-05-01 09:48:16,Assign Truck,,,['tr23']
weigh_loaded_truck_Pcp48_tr4,2024-05-01 09:48:21,Weigh the Loaded Truck,,,['tr4']
load_truck_Pcp59_tr25,2024-05-01 09:48:40,Load Truck,,,['tr25']
weigh_empty_truck_Pcp59_tr23,2024-05-01 09:48:56,Weigh the Empty Truck,,,['tr23']
assign_tr38_Pcp28,2024-05-01 09:49:10,Assign Truck,,,['tr38']
weigh_empty_truck_Pcp28_tr10,2024-05-01 09:49:20,Weigh the Empty Truck,,,['tr10']
load_truck_Pcp59_tr23,2024-05-01 09:49:33,Load Truck,,,['tr23']
load_truck_Pcp28_tr10,2024-05-01 09:50:11,Load Truck,,,['tr10']
assign_tr42_Pcp7,2024-05-01 09:50:33,Assign Truck,,,['tr42']
input_tally_sheet_Pcp48_tr4,2024-05-01 09:50:43,Input the Tally Sheet,,,['tr4']
print_w_ticket_Pcp48_tr4,2024-05-01 09:50:43,Print the Weighing Ticket,,,['tr4']
eval_trs_exit_tr4_Pcp48,2024-05-01 09:51:47,Evaluate the Truck Exit,,,['tr4']
weigh_empty_truck_Pcp7_tr42,2024-05-01 09:51:47,Weigh the Empty Truck,,,['tr42']
weigh_empty_truck_Pcp28_tr38,2024-05-01 09:51:55,Weigh the Empty Truck,,,['tr38']
load_truck_Pcp28_tr38,2024-05-01 09:52:25,Load Truck,,,['tr38']
load_truck_Pcp7_tr42,2024-05-01 09:52:39,Load Truck,,,['tr42']
print_w_ticket_Pcp29_tr20,2024-05-01 09:52:40,Print the Weighing Ticket,,,['tr20']
input_tally_sheet_Pcp29_tr20,2024-05-01 09:52:40,Input the Tally Sheet,,,['tr20']
weigh_loaded_truck_Pcp55_tr30,2024-05-01 09:53:06,Weigh the Loaded Truck,,,['tr30']
assign_tr48_Pcp7,2024-05-01 09:53:07,Assign Truck,,,['tr48']
weigh_empty_truck_Pcp7_tr48,2024-05-01 09:53:37,Weigh the Empty Truck,,,['tr48']
eval_trs_exit_tr20_Pcp29,2024-05-01 09:53:55,Evaluate the Truck Exit,,,['tr20']
print_w_ticket_Pcp81_tr3,2024-05-01 09:54:18,Print the Weighing Ticket,,,['tr3']
input_tally_sheet_Pcp81_tr3,2024-05-01 09:54:18,Input the Tally Sheet,,,['tr3']
assign_tr35_Pcp64,2024-05-01 09:54:21,Assign Truck,,,['tr35']
assign_tr32_Pcp64,2024-05-01 09:54:28,Assign Truck,,,['tr32']
load_truck_Pcp7_tr48,2024-05-01 09:54:40,Load Truck,,,['tr48']
print_w_ticket_Pcp23_tr12,2024-05-01 09:56:04,Print the Weighing Ticket,,,['tr12']
input_tally_sheet_Pcp23_tr12,2024-05-01 09:56:04,Input the Tally Sheet,,,['tr12']
weigh_empty_truck_Pcp64_tr35,2024-05-01 09:56:52,Weigh the Empty Truck,,,['tr35']
eval_trs_exit_tr3_Pcp81,2024-05-01 09:56:52,Evaluate the Truck Exit,,,['tr3']
eval_trs_exit_tr12_Pcp23,2024-05-01 09:57:48,Evaluate the Truck Exit,,,['tr12']
weigh_empty_truck_Pcp64_tr32,2024-05-01 09:58:09,Weigh the Empty Truck,,,['tr32']
