ocel_source_id;ocel_target_id;ocel_qualifier;ocel_time
tr21;Pcp1;Assigned truck for pickup plan;2024-05-08 18:10:49
tr45;Pcp4;Dropped truck from pickup plan;2024-05-08 18:17:26
tr18;Pcp3;Assigned truck for pickup plan;2024-05-09 08:02:34
tr47;Pcp2;Assigned truck for pickup plan;2024-05-09 08:09:48
tr29;Pcp5;Assigned truck for pickup plan;2024-05-09 08:37:49
tr44;Pcp3;Dropped truck from pickup plan;2024-05-09 08:42:27
tr39;Pcp2;Assigned truck for pickup plan;2024-05-09 09:11:58
tr37;Pcp2;Assigned truck for pickup plan;2024-05-09 09:13:21
tr25;Pcp8;Assigned truck for pickup plan;2024-05-09 09:28:24
tr45;Pcp6;Assigned truck for pickup plan;2024-05-09 09:29:08
tr20;Pcp4;Dropped truck from pickup plan;2024-05-09 09:54:12
tr24;Pcp4;Dropped truck from pickup plan;2024-05-09 10:31:49
tr10;Pcp2;Assigned truck for pickup plan;2024-05-09 11:08:30
tr14;Pcp3;Dropped truck from pickup plan;2024-05-09 11:17:16
tr28;Pcp4;Dropped truck from pickup plan;2024-05-09 11:18:02
tr48;Pcp5;Dropped truck from pickup plan;2024-05-09 12:12:04
tr5;Pcp2;Dropped truck from pickup plan;2024-05-09 13:21:39
tr44;Pcp4;Assigned truck for pickup plan;2024-05-09 14:02:43
tr20;Pcp8;Assigned truck for pickup plan;2024-05-09 14:15:55
tr22;Pcp1;Dropped truck from pickup plan;2024-05-09 14:36:08
tr14;Pcp3;Assigned truck for pickup plan;2024-05-09 14:45:44
tr28;Pcp1;Assigned truck for pickup plan;2024-05-09 14:56:56
tr24;Pcp2;Assigned truck for pickup plan;2024-05-09 15:12:13
tr48;Pcp4;Assigned truck for pickup plan;2024-05-09 15:26:18
tr50;Pcp4;Dropped truck from pickup plan;2024-05-09 15:28:45
tr1;Pcp4;Dropped truck from pickup plan;2024-05-09 16:11:15
tr5;Pcp6;Assigned truck for pickup plan;2024-05-09 16:25:28
tr40;Pcp1;Dropped truck from pickup plan;2024-05-09 16:26:01
tr22;Pcp2;Assigned truck for pickup plan;2024-05-09 16:29:06
tr27;Pcp4;Dropped truck from pickup plan;2024-05-09 18:52:40
tr40;Pcp2;Assigned truck for pickup plan;2024-05-10 07:48:27
tr49;Pcp5;Dropped truck from pickup plan;2024-05-10 07:52:53
tr30;Pcp6;Dropped truck from pickup plan;2024-05-10 08:07:17
tr16;Pcp8;Dropped truck from pickup plan;2024-05-10 08:28:44
tr9;Pcp2;Dropped truck from pickup plan;2024-05-10 08:45:16
tr38;Pcp6;Dropped truck from pickup plan;2024-05-10 09:15:29
tr50;Pcp2;Assigned truck for pickup plan;2024-05-10 10:26:04
tr17;Pcp2;Dropped truck from pickup plan;2024-05-10 10:28:24
tr26;Pcp5;Dropped truck from pickup plan;2024-05-10 10:36:17
tr27;Pcp6;Assigned truck for pickup plan;2024-05-10 11:00:45
tr30;Pcp6;Assigned truck for pickup plan;2024-05-10 11:13:08
tr1;Pcp8;Assigned truck for pickup plan;2024-05-10 11:36:15
tr9;Pcp1;Assigned truck for pickup plan;2024-05-10 12:07:36
tr49;Pcp8;Assigned truck for pickup plan;2024-05-10 12:09:27
tr2;Pcp5;Dropped truck from pickup plan;2024-05-10 12:13:32
tr38;Pcp1;Assigned truck for pickup plan;2024-05-10 12:27:10
tr17;Pcp3;Assigned truck for pickup plan;2024-05-10 14:17:04
tr16;Pcp8;Assigned truck for pickup plan;2024-05-10 15:01:32
tr19;Pcp5;Dropped truck from pickup plan;2024-05-10 15:27:08
tr23;Pcp5;Dropped truck from pickup plan;2024-05-10 15:41:27
tr33;Pcp5;Dropped truck from pickup plan;2024-05-10 15:43:35
tr21;Pcp1;Dropped truck from pickup plan;2024-05-10 16:25:11
tr31;Pcp5;Dropped truck from pickup plan;2024-05-10 17:00:51
tr26;Pcp2;Assigned truck for pickup plan;2024-05-10 18:42:50
tr34;Pcp2;Dropped truck from pickup plan;2024-05-13 07:31:13
tr13;Pcp8;Dropped truck from pickup plan;2024-05-13 07:34:10
tr25;Pcp8;Dropped truck from pickup plan;2024-05-13 07:58:00
tr37;Pcp2;Dropped truck from pickup plan;2024-05-13 08:02:15
tr12;Pcp8;Dropped truck from pickup plan;2024-05-13 08:30:33
tr33;Pcp3;Assigned truck for pickup plan;2024-05-13 08:34:58
tr32;Pcp3;Dropped truck from pickup plan;2024-05-13 08:40:39
tr21;Pcp4;Assigned truck for pickup plan;2024-05-13 08:59:29
tr19;Pcp3;Assigned truck for pickup plan;2024-05-13 09:26:59
tr34;Pcp4;Assigned truck for pickup plan;2024-05-13 10:12:34
tr2;Pcp3;Assigned truck for pickup plan;2024-05-13 10:16:32
tr3;Pcp6;Dropped truck from pickup plan;2024-05-13 10:20:59
tr47;Pcp2;Dropped truck from pickup plan;2024-05-13 10:22:30
tr37;Pcp2;Assigned truck for pickup plan;2024-05-13 10:51:43
tr20;Pcp8;Dropped truck from pickup plan;2024-05-13 10:55:12
tr12;Pcp2;Assigned truck for pickup plan;2024-05-13 11:18:22
tr31;Pcp6;Assigned truck for pickup plan;2024-05-13 11:44:11
tr10;Pcp2;Dropped truck from pickup plan;2024-05-13 12:19:27
tr13;Pcp6;Assigned truck for pickup plan;2024-05-13 12:31:36
tr32;Pcp4;Assigned truck for pickup plan;2024-05-13 12:48:04
tr4;Pcp1;Dropped truck from pickup plan;2024-05-13 13:31:30
tr23;Pcp6;Assigned truck for pickup plan;2024-05-13 14:00:42
tr3;Pcp8;Assigned truck for pickup plan;2024-05-13 14:05:12
tr47;Pcp6;Assigned truck for pickup plan;2024-05-13 14:14:44
tr25;Pcp2;Assigned truck for pickup plan;2024-05-13 14:27:47
tr15;Pcp5;Dropped truck from pickup plan;2024-05-13 14:46:30
tr41;Pcp2;Dropped truck from pickup plan;2024-05-13 14:56:09
tr42;Pcp1;Dropped truck from pickup plan;2024-05-13 14:57:46
tr6;Pcp1;Dropped truck from pickup plan;2024-05-13 15:23:17
tr10;Pcp8;Assigned truck for pickup plan;2024-05-13 15:35:04
tr8;Pcp8;Dropped truck from pickup plan;2024-05-13 15:39:51
tr18;Pcp3;Dropped truck from pickup plan;2024-05-13 15:54:41
tr4;Pcp1;Assigned truck for pickup plan;2024-05-13 16:07:55
tr29;Pcp5;Dropped truck from pickup plan;2024-05-13 16:10:52
tr20;Pcp8;Assigned truck for pickup plan;2024-05-13 16:20:24
tr28;Pcp1;Dropped truck from pickup plan;2024-05-13 16:31:34
tr5;Pcp6;Dropped truck from pickup plan;2024-05-13 16:42:01
tr48;Pcp4;Dropped truck from pickup plan;2024-05-13 16:42:48
tr41;Pcp3;Assigned truck for pickup plan;2024-05-13 17:17:55
tr39;Pcp2;Dropped truck from pickup plan;2024-05-13 17:32:24
tr15;Pcp4;Assigned truck for pickup plan;2024-05-13 17:59:56
tr11;Pcp3;Dropped truck from pickup plan;2024-05-14 07:53:41
tr7;Pcp6;Dropped truck from pickup plan;2024-05-14 07:53:50
tr43;Pcp6;Dropped truck from pickup plan;2024-05-14 08:06:45
tr30;Pcp6;Dropped truck from pickup plan;2024-05-14 08:55:38
tr6;Pcp5;Assigned truck for pickup plan;2024-05-14 09:31:06
tr42;Pcp4;Assigned truck for pickup plan;2024-05-14 09:32:25
tr45;Pcp6;Dropped truck from pickup plan;2024-05-14 09:48:48
tr8;Pcp6;Assigned truck for pickup plan;2024-05-14 09:53:02
tr28;Pcp5;Assigned truck for pickup plan;2024-05-14 09:58:44
tr5;Pcp3;Assigned truck for pickup plan;2024-05-14 10:16:50
tr18;Pcp5;Assigned truck for pickup plan;2024-05-14 10:20:52
tr43;Pcp1;Assigned truck for pickup plan;2024-05-14 10:24:59
tr29;Pcp5;Assigned truck for pickup plan;2024-05-14 10:27:52
tr7;Pcp6;Assigned truck for pickup plan;2024-05-14 10:35:34
tr11;Pcp1;Assigned truck for pickup plan;2024-05-14 11:17:12
tr48;Pcp6;Assigned truck for pickup plan;2024-05-14 11:18:52
tr45;Pcp3;Assigned truck for pickup plan;2024-05-14 13:23:34
tr39;Pcp5;Assigned truck for pickup plan;2024-05-14 13:41:14
tr40;Pcp2;Dropped truck from pickup plan;2024-05-14 15:15:41
tr22;Pcp2;Dropped truck from pickup plan;2024-05-14 15:38:50
tr30;Pcp4;Assigned truck for pickup plan;2024-05-14 15:55:07
tr50;Pcp2;Dropped truck from pickup plan;2024-05-14 16:53:02
tr21;Pcp4;Dropped truck from pickup plan;2024-05-14 18:46:34
tr44;Pcp4;Dropped truck from pickup plan;2024-05-15 07:25:16
tr27;Pcp6;Dropped truck from pickup plan;2024-05-15 07:45:31
tr33;Pcp3;Dropped truck from pickup plan;2024-05-15 08:38:44
tr22;Pcp6;Assigned truck for pickup plan;2024-05-15 08:43:22
tr50;Pcp1;Assigned truck for pickup plan;2024-05-15 09:14:37
tr32;Pcp4;Dropped truck from pickup plan;2024-05-15 09:51:36
tr26;Pcp2;Dropped truck from pickup plan;2024-05-15 10:04:03
tr24;Pcp2;Dropped truck from pickup plan;2024-05-15 10:36:03
tr16;Pcp8;Dropped truck from pickup plan;2024-05-15 10:38:45
tr44;Pcp3;Assigned truck for pickup plan;2024-05-15 10:45:25
tr40;Pcp2;Assigned truck for pickup plan;2024-05-15 11:25:08
tr6;Pcp5;Dropped truck from pickup plan;2024-05-15 11:50:25
tr33;Pcp8;Assigned truck for pickup plan;2024-05-15 12:41:42
tr36;Pcp4;Dropped truck from pickup plan;2024-05-15 13:41:55
tr17;Pcp3;Dropped truck from pickup plan;2024-05-15 13:42:05
tr18;Pcp5;Dropped truck from pickup plan;2024-05-15 13:50:27
tr38;Pcp1;Dropped truck from pickup plan;2024-05-15 14:00:03
tr21;Pcp5;Assigned truck for pickup plan;2024-05-15 14:00:46
tr32;Pcp6;Assigned truck for pickup plan;2024-05-15 14:07:39
tr16;Pcp8;Assigned truck for pickup plan;2024-05-15 14:22:03
tr14;Pcp3;Dropped truck from pickup plan;2024-05-15 14:40:54
tr26;Pcp2;Assigned truck for pickup plan;2024-05-15 14:49:32
tr6;Pcp2;Assigned truck for pickup plan;2024-05-15 14:57:50
tr49;Pcp8;Dropped truck from pickup plan;2024-05-15 15:18:53
tr27;Pcp5;Assigned truck for pickup plan;2024-05-15 15:22:59
tr24;Pcp4;Assigned truck for pickup plan;2024-05-15 15:36:55
tr13;Pcp6;Dropped truck from pickup plan;2024-05-15 15:50:09
tr39;Pcp5;Dropped truck from pickup plan;2024-05-15 16:02:13
tr38;Pcp6;Assigned truck for pickup plan;2024-05-15 16:19:21
tr18;Pcp2;Assigned truck for pickup plan;2024-05-15 16:43:59
tr25;Pcp2;Dropped truck from pickup plan;2024-05-15 16:50:58
tr12;Pcp2;Dropped truck from pickup plan;2024-05-15 16:55:25
tr37;Pcp2;Dropped truck from pickup plan;2024-05-15 17:06:26
tr17;Pcp5;Assigned truck for pickup plan;2024-05-15 17:19:50
tr36;Pcp8;Assigned truck for pickup plan;2024-05-15 17:36:05
tr49;Pcp2;Assigned truck for pickup plan;2024-05-15 17:52:20
tr30;Pcp4;Dropped truck from pickup plan;2024-05-15 18:56:17
tr39;Pcp1;Assigned truck for pickup plan;2024-05-15 19:00:13
tr48;Pcp6;Dropped truck from pickup plan;2024-05-16 07:21:59
tr46;Pcp3;Dropped truck from pickup plan;2024-05-16 07:39:36
tr14;Pcp4;Assigned truck for pickup plan;2024-05-16 08:05:43
tr34;Pcp4;Dropped truck from pickup plan;2024-05-16 08:20:09
tr35;Pcp3;Dropped truck from pickup plan;2024-05-16 08:22:39
tr13;Pcp8;Assigned truck for pickup plan;2024-05-16 08:54:42
tr12;Pcp2;Assigned truck for pickup plan;2024-05-16 09:08:19
tr9;Pcp1;Dropped truck from pickup plan;2024-05-16 09:20:52
tr48;Pcp1;Assigned truck for pickup plan;2024-05-16 09:56:31
tr30;Pcp1;Assigned truck for pickup plan;2024-05-16 10:41:02
tr34;Pcp1;Assigned truck for pickup plan;2024-05-16 10:45:54
tr35;Pcp2;Assigned truck for pickup plan;2024-05-16 10:50:32
tr7;Pcp6;Dropped truck from pickup plan;2024-05-16 11:03:59
tr19;Pcp3;Dropped truck from pickup plan;2024-05-16 11:18:18
tr37;Pcp4;Assigned truck for pickup plan;2024-05-16 11:20:11
tr25;Pcp8;Assigned truck for pickup plan;2024-05-16 11:43:13
tr31;Pcp6;Dropped truck from pickup plan;2024-05-16 11:51:31
tr29;Pcp5;Dropped truck from pickup plan;2024-05-16 13:26:57
tr41;Pcp3;Dropped truck from pickup plan;2024-05-16 13:52:35
tr43;Pcp1;Dropped truck from pickup plan;2024-05-16 14:02:44
tr8;Pcp6;Dropped truck from pickup plan;2024-05-16 14:05:56
tr46;Pcp3;Assigned truck for pickup plan;2024-05-16 14:06:17
tr9;Pcp5;Assigned truck for pickup plan;2024-05-16 14:17:09
tr2;Pcp3;Dropped truck from pickup plan;2024-05-16 14:53:52
tr7;Pcp3;Assigned truck for pickup plan;2024-05-16 15:26:51
tr19;Pcp6;Assigned truck for pickup plan;2024-05-16 15:28:08
tr31;Pcp6;Assigned truck for pickup plan;2024-05-16 15:44:42
tr43;Pcp3;Assigned truck for pickup plan;2024-05-16 15:56:12
