ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(scheduled);Cargo stock weight(real);Silo ID
Cr92;2024-03-04 00:00:00;;Other;17.0;17.0;Sil74
Cr70;2024-03-04 00:00:00;;Other;18.7;18.7;Sil34
Cr99;2024-03-04 00:00:00;;Other;7.4;7.4;Sil15
Cr55;2024-03-04 00:00:00;;Wheat;7.5;7.5;Sil12
Cr60;2024-03-04 00:00:00;;Corn;18.1;18.1;Sil24
Cr45;2024-03-04 00:00:00;;Other;22.9;22.9;Sil82
Cr35;2024-03-04 00:00:00;;Wheat;24.2;24.2;Sil93
Cr80;2024-03-04 00:00:00;;Other;23.1;23.1;Sil69
Cr10;2024-03-04 00:00:00;;Corn;8.5;8.5;Sil94
Cr30;2024-03-04 00:00:00;;Rice;20.3;20.3;Sil100
Cr46;2024-03-04 00:00:00;;Wheat;11.0;11.0;Sil91
Cr96;2024-03-04 00:00:00;;Other;10.5;10.5;Sil95
Cr54;2024-03-04 00:00:00;;Potato;20.7;20.7;Sil29
Cr89;2024-03-04 00:00:00;;Other;3.0;3.0;Sil1
Cr5;2024-03-04 00:00:00;;Wheat;16.1;16.1;Sil71
Cr69;2024-03-04 00:00:00;;Corn;10.2;10.2;Sil28
Cr20;2024-03-04 00:00:00;;Corn;23.4;23.4;Sil66
Cr64;2024-03-04 00:00:00;;Potato;14.1;14.1;Sil47
Cr11;2024-03-04 00:00:00;;Other;24.7;24.7;Sil90
Cr37;2024-03-04 00:00:00;;Corn;3.5;3.5;Sil56
Cr49;2024-03-04 00:00:00;;Other;19.9;19.9;Sil9
Cr88;2024-03-04 00:00:00;;Potato;2.4;2.4;Sil72
Cr50;2024-03-04 00:00:00;;Other;14.1;14.1;Sil96
Cr42;2024-03-04 00:00:00;;Wheat;19.7;19.7;Sil65
Cr93;2024-03-04 00:00:00;;Wheat;13.5;13.5;Sil13
Cr47;2024-03-04 00:00:00;;Corn;6.5;6.5;Sil3
Cr52;2024-03-04 00:00:00;;Other;24.5;24.5;Sil32
Cr28;2024-03-04 00:00:00;;Other;23.4;23.4;Sil75
Cr61;2024-03-04 00:00:00;;Wheat;24.7;24.7;Sil79
Cr12;2024-03-04 00:00:00;;Corn;16.5;16.5;Sil11
Cr62;2024-03-04 00:00:00;;Rice;15.2;15.2;Sil83
Cr34;2024-03-04 00:00:00;;Wheat;14.9;14.9;Sil58
Cr4;2024-03-04 00:00:00;;Wheat;16.3;16.3;Sil60
Cr17;2024-03-04 00:00:00;;Corn;23.4;23.4;Sil38
Cr68;2024-03-04 00:00:00;;Wheat;18.1;18.1;Sil16
Cr83;2024-03-04 00:00:00;;Rice;4.6;4.6;Sil59
Cr53;2024-03-04 00:00:00;;Wheat;4.6;4.6;Sil46
Cr27;2024-03-04 00:00:00;;Other;20.2;20.2;Sil50
Cr24;2024-03-04 00:00:00;;Rice;22.6;22.6;Sil7
Cr78;2024-03-04 00:00:00;;Wheat;7.0;7.0;Sil35
Cr90;2024-03-04 00:00:00;;Potato;10.5;10.5;Sil21
Cr57;2024-03-04 00:00:00;;Potato;6.4;6.4;Sil17
Cr48;2024-03-04 00:00:00;;Other;15.0;15.0;Sil31
Cr89;2024-03-04 07:33:41;Cargo stock weight(scheduled);;2.2
Cr62;2024-03-04 07:33:49;Cargo stock weight(scheduled);;13.1
Cr14;2024-03-04 07:35:08;Cargo stock weight(scheduled);;2.4
Cr46;2024-03-04 07:36:01;Cargo stock weight(scheduled);;6.0
Cr24;2024-03-04 07:36:17;Cargo stock weight(scheduled);;5.4
Cr51;2024-03-04 07:36:33;Cargo stock weight(scheduled);;3.9
Cr29;2024-03-04 07:37:05;Cargo stock weight(scheduled);;7.8
Cr10;2024-03-04 07:38:51;Cargo stock weight(scheduled);;3.3
Cr27;2024-03-04 07:40:12;Cargo stock weight(scheduled);;10.5
Cr86;2024-03-04 07:40:19;Cargo stock weight(scheduled);;9.0
Cr33;2024-03-04 07:40:27;Cargo stock weight(scheduled);;6.9
Cr79;2024-03-04 07:41:02;Cargo stock weight(scheduled);;11.5
Cr72;2024-03-04 07:41:30;Cargo stock weight(scheduled);;1.8
Cr40;2024-03-04 07:43:39;Cargo stock weight(scheduled);;4.5
Cr21;2024-03-04 07:45:19;Cargo stock weight(scheduled);;11.7
Cr8;2024-03-04 07:45:46;Cargo stock weight(scheduled);;0.9
Cr18;2024-03-04 07:46:09;Cargo stock weight(scheduled);;8.7
Cr56;2024-03-04 07:47:38;Cargo stock weight(scheduled);;3.0
Cr37;2024-03-04 07:47:47;Cargo stock weight(scheduled);;0.0
Cr94;2024-03-04 07:48:30;Cargo stock weight(scheduled);;1.1
Cr35;2024-03-04 07:49:23;Cargo stock weight(scheduled);;22.1
Cr58;2024-03-04 07:49:59;Cargo stock weight(scheduled);;1.1
Cr15;2024-03-04 07:53:39;Cargo stock weight(scheduled);;1.6
Cr85;2024-03-04 07:54:06;Cargo stock weight(scheduled);;13.1
Cr63;2024-03-04 07:54:30;Cargo stock weight(scheduled);;4.1
Cr65;2024-03-04 07:55:54;Cargo stock weight(scheduled);;13.6
Cr77;2024-03-04 07:56:30;Cargo stock weight(scheduled);;6.1
Cr53;2024-03-04 07:57:02;Cargo stock weight(scheduled);;3.7
Cr28;2024-03-04 07:58:37;Cargo stock weight(scheduled);;7.4
Cr48;2024-03-04 07:59:41;Cargo stock weight(scheduled);;1.0
Cr68;2024-03-04 08:00:09;Cargo stock weight(scheduled);;17.4
Cr57;2024-03-04 08:01:06;Cargo stock weight(scheduled);;2.5
Cr34;2024-03-04 08:02:58;Cargo stock weight(scheduled);;11.0
Cr11;2024-03-04 08:06:01;Cargo stock weight(scheduled);;11.6
Cr32;2024-03-04 08:07:03;Cargo stock weight(scheduled);;5.4
Cr98;2024-03-04 08:07:34;Cargo stock weight(scheduled);;7.4
Cr96;2024-03-04 08:07:45;Cargo stock weight(scheduled);;1.7
Cr75;2024-03-04 08:09:58;Cargo stock weight(scheduled);;12.2
Cr93;2024-03-04 08:11:41;Cargo stock weight(scheduled);;4.1
Cr95;2024-03-04 08:12:39;Cargo stock weight(scheduled);;5.7
Cr31;2024-03-04 08:12:44;Cargo stock weight(scheduled);;14.3
Cr55;2024-03-04 08:12:57;Cargo stock weight(scheduled);;0.6
Cr88;2024-03-04 08:18:45;Cargo stock weight(scheduled);;1.3
Cr42;2024-03-04 08:18:58;Cargo stock weight(scheduled);;15.4
Cr41;2024-03-04 08:20:17;Cargo stock weight(scheduled);;3.6
Cr90;2024-03-04 08:22:39;Cargo stock weight(scheduled);;7.9
Cr16;2024-03-04 08:24:40;Cargo stock weight(scheduled);;17.1
Cr47;2024-03-04 08:25:22;Cargo stock weight(scheduled);;4.0
Cr71;2024-03-04 08:26:34;Cargo stock weight(scheduled);;3.8
Cr54;2024-03-04 08:26:37;Cargo stock weight(scheduled);;5.3
Cr69;2024-03-04 08:27:18;Cargo stock weight(scheduled);;0.9
Cr39;2024-03-04 08:27:21;Cargo stock weight(scheduled);;14.8
Cr50;2024-03-04 08:27:25;Cargo stock weight(scheduled);;5.3
Cr4;2024-03-04 08:27:42;Cargo stock weight(scheduled);;14.0
Cr82;2024-03-04 08:29:59;Cargo stock weight(scheduled);;7.5
Cr99;2024-03-04 08:31:35;Cargo stock weight(scheduled);;2.6
Cr43;2024-03-04 08:32:14;Cargo stock weight(scheduled);;9.1
Cr70;2024-03-04 08:33:48;Cargo stock weight(scheduled);;16.2
Cr12;2024-03-04 08:34:13;Cargo stock weight(scheduled);;4.0
Cr76;2024-03-04 08:37:45;Cargo stock weight(scheduled);;1.0
Cr9;2024-03-04 08:40:57;Cargo stock weight(scheduled);;6.8
Cr59;2024-03-04 08:41:00;Cargo stock weight(scheduled);;3.3
Cr25;2024-03-04 08:41:32;Cargo stock weight(scheduled);;11.3
Cr66;2024-03-04 08:44:03;Cargo stock weight(scheduled);;0.2
Cr7;2024-03-04 08:45:40;Cargo stock weight(scheduled);;4.3
Cr64;2024-03-04 08:46:21;Cargo stock weight(scheduled);;1.0
Cr2;2024-03-04 08:51:30;Cargo stock weight(scheduled);;2.0
Cr26;2024-03-04 08:51:49;Cargo stock weight(scheduled);;2.0
Cr38;2024-03-04 08:52:40;Cargo stock weight(scheduled);;3.8
Cr13;2024-03-04 08:55:05;Cargo stock weight(scheduled);;10.4
Cr87;2024-03-04 08:55:08;Cargo stock weight(scheduled);;0.9
Cr61;2024-03-04 08:55:17;Cargo stock weight(scheduled);;19.0
Cr91;2024-03-04 08:56:18;Cargo stock weight(scheduled);;8.4
Cr5;2024-03-04 08:57:41;Cargo stock weight(scheduled);;4.7
Cr6;2024-03-04 08:59:54;Cargo stock weight(scheduled);;11.3
Cr73;2024-03-04 09:00:02;Cargo stock weight(scheduled);;1.8
Cr36;2024-03-04 09:00:16;Cargo stock weight(scheduled);;4.4
Cr44;2024-03-04 09:01:41;Cargo stock weight(scheduled);;1.9
Cr30;2024-03-04 09:02:10;Cargo stock weight(scheduled);;10.3
Cr60;2024-03-04 09:03:55;Cargo stock weight(scheduled);;17.0
Cr83;2024-03-04 09:04:12;Cargo stock weight(scheduled);;0.8
Cr20;2024-03-04 09:05:28;Cargo stock weight(scheduled);;15.1
Cr100;2024-03-04 09:05:28;Cargo stock weight(scheduled);;6.9
Cr1;2024-03-04 09:05:58;Cargo stock weight(scheduled);;2.1
Cr67;2024-03-04 09:06:55;Cargo stock weight(scheduled);;7.8
Cr49;2024-03-04 09:07:37;Cargo stock weight(scheduled);;7.5
Cr3;2024-03-04 09:07:52;Cargo stock weight(scheduled);;4.4
Cr45;2024-03-04 09:11:23;Cargo stock weight(scheduled);;18.1
Cr84;2024-03-04 09:12:53;Cargo stock weight(scheduled);;1.6
Cr17;2024-03-04 09:12:58;Cargo stock weight(scheduled);;14.9
Cr92;2024-03-04 09:13:00;Cargo stock weight(scheduled);;3.9
Cr78;2024-03-04 09:13:07;Cargo stock weight(scheduled);;2.0
Cr52;2024-03-04 09:15:01;Cargo stock weight(scheduled);;4.2
Cr19;2024-03-04 09:15:43;Cargo stock weight(scheduled);;8.0
Cr81;2024-03-04 09:16:19;Cargo stock weight(scheduled);;1.4
Cr97;2024-03-04 09:16:21;Cargo stock weight(scheduled);;4.3
Cr80;2024-03-04 09:16:28;Cargo stock weight(scheduled);;1.9
Cr22;2024-03-04 09:16:39;Cargo stock weight(scheduled);;9.2
Cr74;2024-03-04 09:18:44;Cargo stock weight(scheduled);;3.2
Cr23;2024-03-04 09:19:09;Cargo stock weight(scheduled);;2.0
