Event_id,Timestamp,Activity,Objects,Relations,ObjectChanges,RelationChanges
Lodge_Pcp41,2024-04-29 09:19:03,Lodge Pickup Plan,"['Pcp41', 'Cr15']",['Cr15_to_Pcp41'],"[{'ObjectId': 'Pcp41', 'Attribute': 'CargoID', 'NewValue': 'Cr15'}, {'ObjectId': 'Pcp41', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp41', 'Attribute': 'Total pickup weight', 'NewValue': 10328.4}, {'ObjectId': 'Pcp41', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr15', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 94663.5}, {'ObjectId': 'Cr15', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr15_to_Pcp41', 'Target': 'Pcp41', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp29,2024-04-29 09:25:16,Lodge Pickup Plan,"['Pcp29', 'Cr10']",['Cr10_to_Pcp29'],"[{'ObjectId': 'Pcp29', 'Attribute': 'CargoID', 'NewValue': 'Cr10'}, {'ObjectId': 'Pcp29', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp29', 'Attribute': 'Total pickup weight', 'NewValue': 11016.0}, {'ObjectId': 'Pcp29', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr10', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 101179.7}, {'ObjectId': 'Cr10', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr10_to_Pcp29', 'Target': 'Pcp29', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp36,2024-04-29 09:29:40,Lodge Pickup Plan,"['Pcp36', 'Cr11']",['Cr11_to_Pcp36'],"[{'ObjectId': 'Pcp36', 'Attribute': 'CargoID', 'NewValue': 'Cr11'}, {'ObjectId': 'Pcp36', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp36', 'Attribute': 'Total pickup weight', 'NewValue': 11886.4}, {'ObjectId': 'Pcp36', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr11', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 110636.4}, {'ObjectId': 'Cr11', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr11_to_Pcp36', 'Target': 'Pcp36', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp81,2024-04-29 09:29:57,Lodge Pickup Plan,"['Pcp81', 'Cr14']",['Cr14_to_Pcp81'],"[{'ObjectId': 'Pcp81', 'Attribute': 'CargoID', 'NewValue': 'Cr14'}, {'ObjectId': 'Pcp81', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp81', 'Attribute': 'Total pickup weight', 'NewValue': 11624.5}, {'ObjectId': 'Pcp81', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr14', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 100213.6}, {'ObjectId': 'Cr14', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr14_to_Pcp81', 'Target': 'Pcp81', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp22,2024-04-29 09:31:44,Lodge Pickup Plan,"['Pcp22', 'Cr5']",['Cr5_to_Pcp22'],"[{'ObjectId': 'Pcp22', 'Attribute': 'CargoID', 'NewValue': 'Cr5'}, {'ObjectId': 'Pcp22', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp22', 'Attribute': 'Total pickup weight', 'NewValue': 11753.9}, {'ObjectId': 'Pcp22', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr5', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 116579.3}, {'ObjectId': 'Cr5', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr5_to_Pcp22', 'Target': 'Pcp22', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp28,2024-04-29 09:46:28,Lodge Pickup Plan,"['Pcp28', 'Cr20']",['Cr20_to_Pcp28'],"[{'ObjectId': 'Pcp28', 'Attribute': 'CargoID', 'NewValue': 'Cr20'}, {'ObjectId': 'Pcp28', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp28', 'Attribute': 'Total pickup weight', 'NewValue': 10724.7}, {'ObjectId': 'Pcp28', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr20', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 102141.5}, {'ObjectId': 'Cr20', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr20_to_Pcp28', 'Target': 'Pcp28', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp59,2024-04-29 09:47:00,Lodge Pickup Plan,"['Pcp59', 'Cr15']",['Cr15_to_Pcp59'],"[{'ObjectId': 'Pcp59', 'Attribute': 'CargoID', 'NewValue': 'Cr15'}, {'ObjectId': 'Pcp59', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp59', 'Attribute': 'Total pickup weight', 'NewValue': 11133.5}, {'ObjectId': 'Pcp59', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr15', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 83530.0}, {'ObjectId': 'Cr15', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr15_to_Pcp59', 'Target': 'Pcp59', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp7,2024-04-29 09:49:45,Lodge Pickup Plan,"['Pcp7', 'Cr16']",['Cr16_to_Pcp7'],"[{'ObjectId': 'Pcp7', 'Attribute': 'CargoID', 'NewValue': 'Cr16'}, {'ObjectId': 'Pcp7', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp7', 'Attribute': 'Total pickup weight', 'NewValue': 11392.8}, {'ObjectId': 'Pcp7', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr16', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 126514.1}, {'ObjectId': 'Cr16', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr16_to_Pcp7', 'Target': 'Pcp7', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp64,2024-04-29 09:53:26,Lodge Pickup Plan,"['Pcp64', 'Cr10']",['Cr10_to_Pcp64'],"[{'ObjectId': 'Pcp64', 'Attribute': 'CargoID', 'NewValue': 'Cr10'}, {'ObjectId': 'Pcp64', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp64', 'Attribute': 'Total pickup weight', 'NewValue': 10190.9}, {'ObjectId': 'Pcp64', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr10', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 90988.8}, {'ObjectId': 'Cr10', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr10_to_Pcp64', 'Target': 'Pcp64', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp4,2024-04-29 09:57:41,Lodge Pickup Plan,"['Pcp4', 'Cr11']",['Cr11_to_Pcp4'],"[{'ObjectId': 'Pcp4', 'Attribute': 'CargoID', 'NewValue': 'Cr11'}, {'ObjectId': 'Pcp4', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp4', 'Attribute': 'Total pickup weight', 'NewValue': 11865.2}, {'ObjectId': 'Pcp4', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr11', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 98771.2}, {'ObjectId': 'Cr11', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr11_to_Pcp4', 'Target': 'Pcp4', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp5,2024-04-29 09:58:47,Lodge Pickup Plan,"['Pcp5', 'Cr2']",['Cr2_to_Pcp5'],"[{'ObjectId': 'Pcp5', 'Attribute': 'CargoID', 'NewValue': 'Cr2'}, {'ObjectId': 'Pcp5', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp5', 'Attribute': 'Total pickup weight', 'NewValue': 11221.8}, {'ObjectId': 'Pcp5', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr2', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 78810.2}, {'ObjectId': 'Cr2', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr2_to_Pcp5', 'Target': 'Pcp5', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp82,2024-04-29 10:00:12,Lodge Pickup Plan,"['Pcp82', 'Cr18']",['Cr18_to_Pcp82'],"[{'ObjectId': 'Pcp82', 'Attribute': 'CargoID', 'NewValue': 'Cr18'}, {'ObjectId': 'Pcp82', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp82', 'Attribute': 'Total pickup weight', 'NewValue': 11846.0}, {'ObjectId': 'Pcp82', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr18', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 122094.9}, {'ObjectId': 'Cr18', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr18_to_Pcp82', 'Target': 'Pcp82', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp98,2024-04-29 10:07:21,Lodge Pickup Plan,"['Pcp98', 'Cr9']",['Cr9_to_Pcp98'],"[{'ObjectId': 'Pcp98', 'Attribute': 'CargoID', 'NewValue': 'Cr9'}, {'ObjectId': 'Pcp98', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp98', 'Attribute': 'Total pickup weight', 'NewValue': 11242.8}, {'ObjectId': 'Pcp98', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr9', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 121871.9}, {'ObjectId': 'Cr9', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr9_to_Pcp98', 'Target': 'Pcp98', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp86,2024-04-29 10:08:38,Lodge Pickup Plan,"['Pcp86', 'Cr17']",['Cr17_to_Pcp86'],"[{'ObjectId': 'Pcp86', 'Attribute': 'CargoID', 'NewValue': 'Cr17'}, {'ObjectId': 'Pcp86', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp86', 'Attribute': 'Total pickup weight', 'NewValue': 11289.5}, {'ObjectId': 'Pcp86', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr17', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 123847.7}, {'ObjectId': 'Cr17', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr17_to_Pcp86', 'Target': 'Pcp86', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp67,2024-04-29 10:19:50,Lodge Pickup Plan,"['Pcp67', 'Cr6']",['Cr6_to_Pcp67'],"[{'ObjectId': 'Pcp67', 'Attribute': 'CargoID', 'NewValue': 'Cr6'}, {'ObjectId': 'Pcp67', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp67', 'Attribute': 'Total pickup weight', 'NewValue': 11371.9}, {'ObjectId': 'Pcp67', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr6', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 100540.4}, {'ObjectId': 'Cr6', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr6_to_Pcp67', 'Target': 'Pcp67', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp72,2024-04-29 10:26:34,Lodge Pickup Plan,"['Pcp72', 'Cr8']",['Cr8_to_Pcp72'],"[{'ObjectId': 'Pcp72', 'Attribute': 'CargoID', 'NewValue': 'Cr8'}, {'ObjectId': 'Pcp72', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp72', 'Attribute': 'Total pickup weight', 'NewValue': 10325.3}, {'ObjectId': 'Pcp72', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr8', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 102260.0}, {'ObjectId': 'Cr8', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr8_to_Pcp72', 'Target': 'Pcp72', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp38,2024-04-29 10:32:00,Lodge Pickup Plan,"['Pcp38', 'Cr4']",['Cr4_to_Pcp38'],"[{'ObjectId': 'Pcp38', 'Attribute': 'CargoID', 'NewValue': 'Cr4'}, {'ObjectId': 'Pcp38', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp38', 'Attribute': 'Total pickup weight', 'NewValue': 10616.4}, {'ObjectId': 'Pcp38', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr4', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 135093.5}, {'ObjectId': 'Cr4', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr4_to_Pcp38', 'Target': 'Pcp38', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp91,2024-04-29 10:35:44,Lodge Pickup Plan,"['Pcp91', 'Cr3']",['Cr3_to_Pcp91'],"[{'ObjectId': 'Pcp91', 'Attribute': 'CargoID', 'NewValue': 'Cr3'}, {'ObjectId': 'Pcp91', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp91', 'Attribute': 'Total pickup weight', 'NewValue': 11340.0}, {'ObjectId': 'Pcp91', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr3', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 92812.1}, {'ObjectId': 'Cr3', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr3_to_Pcp91', 'Target': 'Pcp91', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp10,2024-04-29 10:36:01,Lodge Pickup Plan,"['Pcp10', 'Cr5']",['Cr5_to_Pcp10'],"[{'ObjectId': 'Pcp10', 'Attribute': 'CargoID', 'NewValue': 'Cr5'}, {'ObjectId': 'Pcp10', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp10', 'Attribute': 'Total pickup weight', 'NewValue': 10411.3}, {'ObjectId': 'Pcp10', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr5', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 106168.0}, {'ObjectId': 'Cr5', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr5_to_Pcp10', 'Target': 'Pcp10', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp63,2024-04-29 10:39:37,Lodge Pickup Plan,"['Pcp63', 'Cr17']",['Cr17_to_Pcp63'],"[{'ObjectId': 'Pcp63', 'Attribute': 'CargoID', 'NewValue': 'Cr17'}, {'ObjectId': 'Pcp63', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp63', 'Attribute': 'Total pickup weight', 'NewValue': 11810.6}, {'ObjectId': 'Pcp63', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr17', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 112037.1}, {'ObjectId': 'Cr17', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr17_to_Pcp63', 'Target': 'Pcp63', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp47,2024-04-29 10:44:58,Lodge Pickup Plan,"['Pcp47', 'Cr13']",['Cr13_to_Pcp47'],"[{'ObjectId': 'Pcp47', 'Attribute': 'CargoID', 'NewValue': 'Cr13'}, {'ObjectId': 'Pcp47', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp47', 'Attribute': 'Total pickup weight', 'NewValue': 10614.4}, {'ObjectId': 'Pcp47', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr13', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 126728.2}, {'ObjectId': 'Cr13', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr13_to_Pcp47', 'Target': 'Pcp47', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp79,2024-04-29 10:52:22,Lodge Pickup Plan,"['Pcp79', 'Cr7']",['Cr7_to_Pcp79'],"[{'ObjectId': 'Pcp79', 'Attribute': 'CargoID', 'NewValue': 'Cr7'}, {'ObjectId': 'Pcp79', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp79', 'Attribute': 'Total pickup weight', 'NewValue': 10394.0}, {'ObjectId': 'Pcp79', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr7', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 120385.5}, {'ObjectId': 'Cr7', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr7_to_Pcp79', 'Target': 'Pcp79', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp16,2024-04-29 10:57:06,Lodge Pickup Plan,"['Pcp16', 'Cr8']",['Cr8_to_Pcp16'],"[{'ObjectId': 'Pcp16', 'Attribute': 'CargoID', 'NewValue': 'Cr8'}, {'ObjectId': 'Pcp16', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp16', 'Attribute': 'Total pickup weight', 'NewValue': 11519.9}, {'ObjectId': 'Pcp16', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr8', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 90740.1}, {'ObjectId': 'Cr8', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr8_to_Pcp16', 'Target': 'Pcp16', 'ChangeStatus': 'addedTarget'}]"
Lodge_Pcp90,2024-04-29 11:03:31,Lodge Pickup Plan,"['Pcp90', 'Cr19']",['Cr19_to_Pcp90'],"[{'ObjectId': 'Pcp90', 'Attribute': 'CargoID', 'NewValue': 'Cr19'}, {'ObjectId': 'Pcp90', 'Attribute': 'Num of trucks', 'NewValue': 2}, {'ObjectId': 'Pcp90', 'Attribute': 'Total pickup weight', 'NewValue': 10855.7}, {'ObjectId': 'Pcp90', 'Attribute': 'lifecycle', 'NewValue': 'lodged'}, {'ObjectId': 'Cr19', 'Attribute': 'Cargo stock weight(scheduled)', 'NewValue': 124949.0}, {'ObjectId': 'Cr19', 'Attribute': 'lifecycle', 'NewValue': 'scheduled'}]","[{'RelationId': 'Cr19_to_Pcp90', 'Target': 'Pcp90', 'ChangeStatus': 'addedTarget'}]"
