object_id,timestamp,ocel_changed_field,Pickup Plan ID,Cargo ID,LPT,Axles,Scheduled Pickup Weight,Truck Status,Truck Weight
tr23,2024-05-01 09:39:03,Scheduled Pickup Weight,,,,,9384.7,,
tr23,2024-05-01 09:39:03,Cargo ID,,Cr17,,,,,
tr47,2024-05-01 09:45:02,Truck Status,,,,,,Occupied,
tr47,2024-05-01 09:45:02,Pickup Plan ID,Pcp7,,,,,,
tr47,2024-05-01 09:45:02,Scheduled Pickup Weight,,,,,9318.7,,
tr47,2024-05-01 09:45:02,Cargo ID,,Cr17,,,,,
tr15,2024-05-01 09:45:49,Truck Status,,,,,,Occupied,
tr15,2024-05-01 09:45:49,Pickup Plan ID,Pcp7,,,,,,
tr15,2024-05-01 09:45:49,Scheduled Pickup Weight,,,,,9433.1,,
tr15,2024-05-01 09:45:49,Cargo ID,,Cr17,,,,,
tr3,2024-05-01 09:50:43,Truck Status,,,,,,Occupied,
tr3,2024-05-01 09:50:43,Pickup Plan ID,Pcp7,,,,,,
tr3,2024-05-01 09:50:43,Scheduled Pickup Weight,,,,,9487.5,,
tr3,2024-05-01 09:50:43,Cargo ID,,Cr17,,,,,
tr6,2024-05-01 09:51:14,Truck Status,,,,,,Occupied,
tr6,2024-05-01 09:51:14,Pickup Plan ID,Pcp7,,,,,,
tr6,2024-05-01 09:51:14,Scheduled Pickup Weight,,,,,9433.5,,
tr6,2024-05-01 09:51:14,Cargo ID,,Cr17,,,,,
tr34,2024-05-01 09:53:56,Truck Status,,,,,,Occupied,
tr34,2024-05-01 09:53:56,Pickup Plan ID,Pcp7,,,,,,
tr34,2024-05-01 09:53:56,Scheduled Pickup Weight,,,,,9344.8,,
tr34,2024-05-01 09:53:56,Cargo ID,,Cr17,,,,,
tr35,2024-05-01 10:00:15,Truck Status,,,,,,Occupied,
tr35,2024-05-01 10:00:15,Pickup Plan ID,Pcp7,,,,,,
tr35,2024-05-01 10:00:15,Scheduled Pickup Weight,,,,,9352.7,,
tr35,2024-05-01 10:00:15,Cargo ID,,Cr17,,,,,
tr32,2024-05-01 10:00:58,Truck Status,,,,,,Occupied,
tr32,2024-05-01 10:00:58,Pickup Plan ID,Pcp7,,,,,,
tr32,2024-05-01 10:00:58,Scheduled Pickup Weight,,,,,9371.3,,
tr32,2024-05-01 10:00:58,Cargo ID,,Cr17,,,,,
tr48,2024-05-01 10:04:05,Truck Status,,,,,,Occupied,
tr48,2024-05-01 10:04:05,Pickup Plan ID,Pcp7,,,,,,
tr48,2024-05-01 10:04:05,Scheduled Pickup Weight,,,,,9357.1,,
tr48,2024-05-01 10:04:05,Cargo ID,,Cr17,,,,,
tr28,2024-05-01 10:06:23,Truck Status,,,,,,Occupied,
tr28,2024-05-01 10:06:23,Pickup Plan ID,Pcp7,,,,,,
tr28,2024-05-01 10:06:23,Scheduled Pickup Weight,,,,,9462.4,,
tr28,2024-05-01 10:06:23,Cargo ID,,Cr17,,,,,
tr24,2024-05-01 10:06:25,Truck Status,,,,,,Occupied,
tr24,2024-05-01 10:06:25,Pickup Plan ID,Pcp7,,,,,,
tr24,2024-05-01 10:06:25,Scheduled Pickup Weight,,,,,9374.8,,
tr24,2024-05-01 10:06:25,Cargo ID,,Cr17,,,,,
tr41,2024-05-01 10:11:23,Truck Status,,,,,,Occupied,
tr41,2024-05-01 10:11:23,Pickup Plan ID,Pcp7,,,,,,
tr41,2024-05-01 10:11:23,Scheduled Pickup Weight,,,,,9386.2,,
tr41,2024-05-01 10:11:23,Cargo ID,,Cr17,,,,,
tr44,2024-05-01 10:12:18,Truck Status,,,,,,Occupied,
tr44,2024-05-01 10:12:18,Pickup Plan ID,Pcp7,,,,,,
tr44,2024-05-01 10:12:18,Scheduled Pickup Weight,,,,,9352.4,,
tr44,2024-05-01 10:12:18,Cargo ID,,Cr17,,,,,
tr19,2024-05-01 10:13:45,Truck Status,,,,,,Occupied,
tr19,2024-05-01 10:13:45,Pickup Plan ID,Pcp7,,,,,,
tr19,2024-05-01 10:13:45,Scheduled Pickup Weight,,,,,9295.2,,
tr19,2024-05-01 10:13:45,Cargo ID,,Cr17,,,,,
tr31,2024-05-01 10:16:13,Truck Status,,,,,,Occupied,
tr31,2024-05-01 10:16:13,Pickup Plan ID,Pcp7,,,,,,
tr31,2024-05-01 10:16:13,Scheduled Pickup Weight,,,,,9414.3,,
tr31,2024-05-01 10:16:13,Cargo ID,,Cr17,,,,,
tr2,2024-05-01 10:21:57,Truck Status,,,,,,Occupied,
tr2,2024-05-01 10:21:57,Pickup Plan ID,Pcp7,,,,,,
tr2,2024-05-01 10:21:57,Scheduled Pickup Weight,,,,,9487.6,,
tr2,2024-05-01 10:21:57,Cargo ID,,Cr17,,,,,
tr7,2024-05-01 10:22:21,Truck Status,,,,,,Occupied,
tr7,2024-05-01 10:22:21,Pickup Plan ID,Pcp7,,,,,,
tr7,2024-05-01 10:22:21,Scheduled Pickup Weight,,,,,9463.9,,
tr7,2024-05-01 10:22:21,Cargo ID,,Cr17,,,,,
tr36,2024-05-01 10:24:55,Truck Status,,,,,,Occupied,
tr36,2024-05-01 10:24:55,Pickup Plan ID,Pcp7,,,,,,
tr36,2024-05-01 10:24:55,Scheduled Pickup Weight,,,,,9462.9,,
tr36,2024-05-01 10:24:55,Cargo ID,,Cr17,,,,,
tr5,2024-05-01 10:28:35,Truck Status,,,,,,Occupied,
tr5,2024-05-01 10:28:35,Pickup Plan ID,Pcp7,,,,,,
tr5,2024-05-01 10:28:35,Scheduled Pickup Weight,,,,,9408.6,,
tr5,2024-05-01 10:28:35,Cargo ID,,Cr17,,,,,
tr17,2024-05-01 10:28:47,Truck Status,,,,,,Occupied,
tr17,2024-05-01 10:28:47,Pickup Plan ID,Pcp7,,,,,,
tr17,2024-05-01 10:28:47,Scheduled Pickup Weight,,,,,9444.0,,
tr17,2024-05-01 10:28:47,Cargo ID,,Cr17,,,,,
tr30,2024-05-01 10:33:02,Truck Status,,,,,,Occupied,
tr30,2024-05-01 10:33:02,Pickup Plan ID,Pcp7,,,,,,
tr30,2024-05-01 10:33:02,Scheduled Pickup Weight,,,,,9489.5,,
tr30,2024-05-01 10:33:02,Cargo ID,,Cr17,,,,,
tr38,2024-05-01 10:34:51,Truck Status,,,,,,Occupied,
tr38,2024-05-01 10:34:51,Pickup Plan ID,Pcp7,,,,,,
tr38,2024-05-01 10:34:51,Scheduled Pickup Weight,,,,,9263.3,,
tr38,2024-05-01 10:34:51,Cargo ID,,Cr17,,,,,
tr40,2024-05-01 10:35:31,Truck Status,,,,,,Occupied,
tr40,2024-05-01 10:35:31,Pickup Plan ID,Pcp7,,,,,,
tr40,2024-05-01 10:35:31,Scheduled Pickup Weight,,,,,9441.9,,
tr40,2024-05-01 10:35:31,Cargo ID,,Cr17,,,,,
tr4,2024-05-01 10:35:59,Truck Status,,,,,,Occupied,
tr4,2024-05-01 10:35:59,Pickup Plan ID,Pcp7,,,,,,
tr4,2024-05-01 10:35:59,Scheduled Pickup Weight,,,,,9385.1,,
tr4,2024-05-01 10:35:59,Cargo ID,,Cr17,,,,,
tr43,2024-05-01 10:36:05,Truck Status,,,,,,Occupied,
tr43,2024-05-01 10:36:05,Pickup Plan ID,Pcp7,,,,,,
tr43,2024-05-01 10:36:05,Scheduled Pickup Weight,,,,,9434.2,,
tr43,2024-05-01 10:36:05,Cargo ID,,Cr17,,,,,
tr22,2024-05-01 10:39:05,Truck Status,,,,,,Occupied,
tr22,2024-05-01 10:39:05,Pickup Plan ID,Pcp7,,,,,,
tr22,2024-05-01 10:39:05,Scheduled Pickup Weight,,,,,9472.1,,
tr22,2024-05-01 10:39:05,Cargo ID,,Cr17,,,,,
tr29,2024-05-01 10:40:27,Truck Status,,,,,,Occupied,
tr29,2024-05-01 10:40:27,Pickup Plan ID,Pcp7,,,,,,
tr29,2024-05-01 10:40:27,Scheduled Pickup Weight,,,,,9257.7,,
tr29,2024-05-01 10:40:27,Cargo ID,,Cr17,,,,,
tr39,2024-05-01 10:40:28,Truck Status,,,,,,Occupied,
tr39,2024-05-01 10:40:28,Pickup Plan ID,Pcp7,,,,,,
tr39,2024-05-01 10:40:28,Scheduled Pickup Weight,,,,,9423.0,,
tr39,2024-05-01 10:40:28,Cargo ID,,Cr17,,,,,
tr1,2024-05-01 10:45:11,Truck Status,,,,,,Occupied,
tr1,2024-05-01 10:45:11,Pickup Plan ID,Pcp7,,,,,,
tr1,2024-05-01 10:45:11,Scheduled Pickup Weight,,,,,9294.0,,
tr1,2024-05-01 10:45:11,Cargo ID,,Cr17,,,,,
tr21,2024-05-01 10:49:50,Truck Status,,,,,,Occupied,
tr21,2024-05-01 10:49:50,Pickup Plan ID,Pcp7,,,,,,
tr21,2024-05-01 10:49:50,Scheduled Pickup Weight,,,,,9444.5,,
tr21,2024-05-01 10:49:50,Cargo ID,,Cr17,,,,,
tr10,2024-05-01 10:51:43,Truck Status,,,,,,Occupied,
tr10,2024-05-01 10:51:43,Pickup Plan ID,Pcp1,,,,,,
tr10,2024-05-01 10:51:43,Scheduled Pickup Weight,,,,,9279.3,,
tr10,2024-05-01 10:51:43,Cargo ID,,Cr1,,,,,
tr14,2024-05-01 11:00:34,Truck Status,,,,,,Occupied,
tr14,2024-05-01 11:00:34,Pickup Plan ID,Pcp7,,,,,,
tr14,2024-05-01 11:00:34,Scheduled Pickup Weight,,,,,9292.8,,
tr14,2024-05-01 11:00:34,Cargo ID,,Cr17,,,,,
tr50,2024-05-01 11:07:24,Truck Status,,,,,,Occupied,
tr50,2024-05-01 11:07:24,Pickup Plan ID,Pcp1,,,,,,
tr50,2024-05-01 11:07:24,Scheduled Pickup Weight,,,,,9340.8,,
tr50,2024-05-01 11:07:24,Cargo ID,,Cr1,,,,,
tr25,2024-05-01 11:10:00,Truck Status,,,,,,Occupied,
tr25,2024-05-01 11:10:00,Pickup Plan ID,Pcp7,,,,,,
tr25,2024-05-01 11:10:00,Scheduled Pickup Weight,,,,,9386.4,,
tr25,2024-05-01 11:10:00,Cargo ID,,Cr17,,,,,
tr18,2024-05-01 11:13:51,Truck Status,,,,,,Occupied,
tr18,2024-05-01 11:13:51,Pickup Plan ID,Pcp1,,,,,,
tr18,2024-05-01 11:13:51,Scheduled Pickup Weight,,,,,9401.2,,
tr18,2024-05-01 11:13:51,Cargo ID,,Cr1,,,,,
tr33,2024-05-01 11:16:04,Truck Status,,,,,,Occupied,
tr33,2024-05-01 11:16:04,Pickup Plan ID,Pcp7,,,,,,
tr33,2024-05-01 11:16:04,Scheduled Pickup Weight,,,,,9423.3,,
tr33,2024-05-01 11:16:04,Cargo ID,,Cr17,,,,,
tr12,2024-05-01 11:16:57,Truck Status,,,,,,Occupied,
tr12,2024-05-01 11:16:57,Pickup Plan ID,Pcp7,,,,,,
tr12,2024-05-01 11:16:57,Scheduled Pickup Weight,,,,,9298.4,,
tr12,2024-05-01 11:16:57,Cargo ID,,Cr17,,,,,
tr27,2024-05-01 11:21:43,Truck Status,,,,,,Occupied,
tr27,2024-05-01 11:21:43,Pickup Plan ID,Pcp1,,,,,,
tr27,2024-05-01 11:21:43,Scheduled Pickup Weight,,,,,9266.3,,
tr27,2024-05-01 11:21:43,Cargo ID,,Cr1,,,,,
tr32,2024-05-01 11:26:06,Truck Weight,,,,,,,16404.2
tr13,2024-05-01 11:28:52,Truck Status,,,,,,Occupied,
tr13,2024-05-01 11:28:52,Pickup Plan ID,Pcp7,,,,,,
tr13,2024-05-01 11:28:52,Scheduled Pickup Weight,,,,,9459.7,,
tr13,2024-05-01 11:28:52,Cargo ID,,Cr17,,,,,
tr3,2024-05-01 11:29:39,Truck Weight,,,,,,,15396.9
tr20,2024-05-01 11:31:04,Truck Status,,,,,,Occupied,
tr20,2024-05-01 11:31:04,Pickup Plan ID,Pcp7,,,,,,
tr20,2024-05-01 11:31:04,Scheduled Pickup Weight,,,,,9292.5,,
tr20,2024-05-01 11:31:04,Cargo ID,,Cr17,,,,,
tr19,2024-05-01 11:31:19,Truck Weight,,,,,,,15993.5
tr46,2024-05-01 11:37:45,Truck Status,,,,,,Occupied,
tr46,2024-05-01 11:37:45,Pickup Plan ID,Pcp7,,,,,,
tr46,2024-05-01 11:37:45,Scheduled Pickup Weight,,,,,9281.5,,
tr46,2024-05-01 11:37:45,Cargo ID,,Cr17,,,,,
tr45,2024-05-01 11:39:44,Truck Status,,,,,,Occupied,
tr45,2024-05-01 11:39:44,Pickup Plan ID,Pcp7,,,,,,
tr45,2024-05-01 11:39:44,Scheduled Pickup Weight,,,,,9336.8,,
tr45,2024-05-01 11:39:44,Cargo ID,,Cr17,,,,,
tr16,2024-05-01 11:45:46,Truck Status,,,,,,Occupied,
tr16,2024-05-01 11:45:46,Pickup Plan ID,Pcp7,,,,,,
tr16,2024-05-01 11:45:46,Scheduled Pickup Weight,,,,,9318.9,,
tr16,2024-05-01 11:45:46,Cargo ID,,Cr17,,,,,
tr47,2024-05-01 11:49:23,Truck Weight,,,,,,,13786.7
tr26,2024-05-01 11:57:34,Truck Status,,,,,,Occupied,
tr26,2024-05-01 11:57:34,Pickup Plan ID,Pcp7,,,,,,
tr26,2024-05-01 11:57:34,Scheduled Pickup Weight,,,,,9496.0,,
tr26,2024-05-01 11:57:34,Cargo ID,,Cr17,,,,,
tr48,2024-05-01 11:58:22,Truck Weight,,,,,,,11268.7
tr40,2024-05-01 11:58:44,Truck Weight,,,,,,,14416.7
tr31,2024-05-01 12:05:19,Truck Weight,,,,,,,13644.7
tr11,2024-05-01 12:18:53,Truck Status,,,,,,Occupied,
tr11,2024-05-01 12:18:53,Pickup Plan ID,Pcp1,,,,,,
tr11,2024-05-01 12:18:53,Scheduled Pickup Weight,,,,,9329.2,,
tr11,2024-05-01 12:18:53,Cargo ID,,Cr1,,,,,
tr39,2024-05-01 12:38:38,Truck Weight,,,,,,,13053.6
tr49,2024-05-01 13:20:41,Truck Status,,,,,,Occupied,
tr49,2024-05-01 13:20:41,Pickup Plan ID,Pcp7,,,,,,
tr49,2024-05-01 13:20:41,Scheduled Pickup Weight,,,,,9462.0,,
tr49,2024-05-01 13:20:41,Cargo ID,,Cr17,,,,,
tr37,2024-05-01 13:46:19,Truck Status,,,,,,Occupied,
tr37,2024-05-01 13:46:19,Pickup Plan ID,Pcp7,,,,,,
tr37,2024-05-01 13:46:19,Scheduled Pickup Weight,,,,,9278.2,,
tr37,2024-05-01 13:46:19,Cargo ID,,Cr17,,,,,
tr27,2024-05-01 13:46:43,Truck Weight,,,,,,,13487.8
tr23,2024-05-01 13:57:35,Truck Weight,,,,,,,16214.0
tr42,2024-05-01 14:01:18,Truck Status,,,,,,Occupied,
tr42,2024-05-01 14:01:18,Pickup Plan ID,Pcp7,,,,,,
tr42,2024-05-01 14:01:18,Scheduled Pickup Weight,,,,,9389.0,,
tr42,2024-05-01 14:01:18,Cargo ID,,Cr17,,,,,
tr8,2024-05-01 14:18:59,Truck Status,,,,,,Occupied,
tr8,2024-05-01 14:18:59,Pickup Plan ID,Pcp7,,,,,,
tr8,2024-05-01 14:18:59,Scheduled Pickup Weight,,,,,9357.0,,
tr8,2024-05-01 14:18:59,Cargo ID,,Cr17,,,,,
tr15,2024-05-01 14:30:16,Truck Weight,,,,,,,15922.4
tr20,2024-05-01 14:34:06,Truck Weight,,,,,,,11870.6
tr50,2024-05-01 14:41:46,Truck Weight,,,,,,,14659.1
tr28,2024-05-01 14:44:24,Truck Weight,,,,,,,12919.9
tr30,2024-05-01 14:44:43,Truck Weight,,,,,,,13245.6
tr41,2024-05-01 14:49:59,Truck Weight,,,,,,,15213.8
tr21,2024-05-01 14:59:22,Truck Weight,,,,,,,12257.8
tr26,2024-05-01 15:04:20,Truck Weight,,,,,,,15487.9
tr34,2024-05-01 15:06:05,Truck Weight,,,,,,,14749.5
tr1,2024-05-01 15:16:16,Truck Weight,,,,,,,16101.8
tr13,2024-05-01 15:20:48,Truck Weight,,,,,,,12988.1
tr38,2024-05-01 15:25:51,Truck Weight,,,,,,,14728.4
tr17,2024-05-01 15:34:03,Truck Weight,,,,,,,12899.9
tr9,2024-05-01 15:35:56,Truck Status,,,,,,Occupied,
tr9,2024-05-01 15:35:56,Pickup Plan ID,Pcp1,,,,,,
tr9,2024-05-01 15:35:56,Scheduled Pickup Weight,,,,,9413.2,,
tr9,2024-05-01 15:35:56,Cargo ID,,Cr1,,,,,
tr16,2024-05-01 15:45:13,Truck Weight,,,,,,,11418.5
tr29,2024-05-01 15:55:18,Truck Weight,,,,,,,13310.3
tr36,2024-05-01 16:03:16,Truck Weight,,,,,,,14512.5
tr22,2024-05-01 16:04:07,Truck Weight,,,,,,,11042.5
tr46,2024-05-01 16:24:00,Truck Weight,,,,,,,12019.0
tr18,2024-05-01 16:30:26,Truck Weight,,,,,,,13173.8
tr35,2024-05-01 16:43:23,Truck Weight,,,,,,,14122.3
tr4,2024-05-01 16:45:14,Truck Weight,,,,,,,15781.2
tr25,2024-05-01 16:49:41,Truck Weight,,,,,,,14513.5
tr43,2024-05-01 17:07:28,Truck Weight,,,,,,,15576.3
tr33,2024-05-01 17:08:42,Truck Weight,,,,,,,15241.4
tr44,2024-05-01 17:27:24,Truck Weight,,,,,,,14898.0
tr10,2024-05-01 17:37:41,Truck Weight,,,,,,,14996.5
tr12,2024-05-01 17:58:03,Truck Weight,,,,,,,13903.1
tr14,2024-05-02 07:09:58,Truck Weight,,,,,,,13206.1
tr11,2024-05-02 08:39:08,Truck Weight,,,,,,,12456.9
tr42,2024-05-02 08:49:44,Truck Weight,,,,,,,11814.9
tr2,2024-05-02 08:53:36,Truck Weight,,,,,,,14876.1
tr9,2024-05-02 09:10:16,Truck Weight,,,,,,,11447.8
tr24,2024-05-02 09:10:27,Truck Weight,,,,,,,14942.8
tr37,2024-05-02 09:23:42,Truck Weight,,,,,,,12984.6
tr6,2024-05-02 09:30:15,Truck Weight,,,,,,,14439.7
tr49,2024-05-02 10:04:38,Truck Weight,,,,,,,13626.7
tr7,2024-05-02 10:16:00,Truck Weight,,,,,,,12373.9
tr5,2024-05-02 10:39:41,Truck Weight,,,,,,,13453.0
tr19,2024-05-02 11:42:16,Truck Weight,,,,,,,25288.7
tr45,2024-05-02 11:56:45,Truck Weight,,,,,,,13931.6
tr8,2024-05-02 12:11:56,Truck Weight,,,,,,,14335.2
tr23,2024-05-02 13:43:39,Truck Weight,,,,,,,25598.7
tr47,2024-05-02 14:18:23,Truck Weight,,,,,,,23105.4
tr40,2024-05-02 14:38:21,Truck Weight,,,,,,,23858.6
tr23,2024-05-02 14:43:38,Truck Status,,,,,,Available,
tr32,2024-05-02 15:05:24,Truck Weight,,,,,,,25775.5
tr19,2024-05-02 15:25:12,Truck Status,,,,,,Available,
tr47,2024-05-02 15:30:55,Truck Status,,,,,,Available,
tr48,2024-05-02 16:01:01,Truck Weight,,,,,,,20625.8
tr12,2024-05-02 16:06:05,Truck Weight,,,,,,,23201.5
tr23,2024-05-02 16:14:53,Truck Status,,,,,,Occupied,
tr23,2024-05-02 16:14:53,Pickup Plan ID,Pcp8,,,,,,
tr23,2024-05-02 16:14:53,Scheduled Pickup Weight,,,,,9464.0,,
tr23,2024-05-02 16:14:53,Cargo ID,,Cr15,,,,,
tr4,2024-05-02 16:15:41,Truck Weight,,,,,,,25166.3
tr40,2024-05-02 16:17:18,Truck Status,,,,,,Available,
tr30,2024-05-02 16:44:42,Truck Weight,,,,,,,22735.1
tr32,2024-05-02 17:01:40,Truck Status,,,,,,Available,
tr26,2024-05-02 17:03:12,Truck Weight,,,,,,,24983.9
tr47,2024-05-02 17:05:01,Truck Status,,,,,,Occupied,
tr47,2024-05-02 17:05:01,Pickup Plan ID,Pcp8,,,,,,
tr47,2024-05-02 17:05:01,Scheduled Pickup Weight,,,,,9360.5,,
tr47,2024-05-02 17:05:01,Cargo ID,,Cr15,,,,,
tr17,2024-05-02 17:12:12,Truck Weight,,,,,,,22343.9
tr18,2024-05-02 17:29:59,Truck Weight,,,,,,,22575.0
tr29,2024-05-02 17:42:58,Truck Weight,,,,,,,22568.0
tr48,2024-05-02 18:50:28,Truck Status,,,,,,Available,
tr47,2024-05-03 07:26:07,Truck Weight,,,,,,,11425.2
tr12,2024-05-03 07:32:01,Truck Status,,,,,,Available,
tr10,2024-05-03 07:52:50,Truck Weight,,,,,,,24275.8
tr46,2024-05-03 08:52:23,Truck Weight,,,,,,,21300.5
tr38,2024-05-03 09:00:42,Truck Weight,,,,,,,23991.7
tr11,2024-05-03 09:08:47,Truck Weight,,,,,,,21786.1
tr32,2024-05-03 09:16:27,Truck Status,,,,,,Occupied,
tr32,2024-05-03 09:16:27,Pickup Plan ID,Pcp5,,,,,,
tr32,2024-05-03 09:16:27,Scheduled Pickup Weight,,,,,9466.2,,
tr32,2024-05-03 09:16:27,Cargo ID,,Cr7,,,,,
tr40,2024-05-03 09:17:16,Truck Status,,,,,,Occupied,
tr40,2024-05-03 09:17:16,Pickup Plan ID,Pcp5,,,,,,
tr40,2024-05-03 09:17:16,Scheduled Pickup Weight,,,,,9422.5,,
tr40,2024-05-03 09:17:16,Cargo ID,,Cr7,,,,,
tr33,2024-05-03 09:37:59,Truck Weight,,,,,,,24664.7
tr4,2024-05-03 09:41:10,Truck Status,,,,,,Available,
tr30,2024-05-03 10:00:57,Truck Status,,,,,,Available,
tr26,2024-05-03 10:16:10,Truck Status,,,,,,Available,
tr23,2024-05-03 10:34:07,Truck Weight,,,,,,,13877.0
tr19,2024-05-03 10:40:09,Truck Status,,,,,,Occupied,
tr19,2024-05-03 10:40:09,Pickup Plan ID,Pcp2,,,,,,
tr19,2024-05-03 10:40:09,Scheduled Pickup Weight,,,,,9394.9,,
tr19,2024-05-03 10:40:09,Cargo ID,,Cr11,,,,,
tr41,2024-05-03 10:40:30,Truck Weight,,,,,,,24600.0
tr12,2024-05-03 10:40:52,Truck Status,,,,,,Occupied,
tr12,2024-05-03 10:40:52,Pickup Plan ID,Pcp4,,,,,,
tr12,2024-05-03 10:40:52,Scheduled Pickup Weight,,,,,9346.9,,
tr12,2024-05-03 10:40:52,Cargo ID,,Cr16,,,,,
tr21,2024-05-03 10:41:30,Truck Weight,,,,,,,21702.3
tr17,2024-05-03 10:45:39,Truck Status,,,,,,Available,
tr11,2024-05-03 10:49:10,Truck Status,,,,,,Available,
tr30,2024-05-03 10:59:10,Truck Status,,,,,,Occupied,
tr30,2024-05-03 10:59:10,Pickup Plan ID,Pcp3,,,,,,
tr30,2024-05-03 10:59:10,Scheduled Pickup Weight,,,,,9459.0,,
tr30,2024-05-03 10:59:10,Cargo ID,,Cr18,,,,,
tr48,2024-05-03 11:12:29,Truck Status,,,,,,Occupied,
tr48,2024-05-03 11:12:29,Pickup Plan ID,Pcp3,,,,,,
tr48,2024-05-03 11:12:29,Scheduled Pickup Weight,,,,,9416.8,,
tr48,2024-05-03 11:12:29,Cargo ID,,Cr18,,,,,
tr3,2024-05-03 11:15:35,Truck Weight,,,,,,,24884.4
tr46,2024-05-03 11:29:49,Truck Status,,,,,,Available,
tr33,2024-05-03 11:40:06,Truck Status,,,,,,Available,
tr38,2024-05-03 11:50:31,Truck Status,,,,,,Available,
tr50,2024-05-03 12:10:30,Truck Weight,,,,,,,23999.9
tr31,2024-05-03 12:12:08,Truck Weight,,,,,,,23059.0
tr10,2024-05-03 13:41:27,Truck Status,,,,,,Available,
tr3,2024-05-03 13:52:48,Truck Status,,,,,,Available,
tr11,2024-05-03 13:56:10,Truck Status,,,,,,Occupied,
tr11,2024-05-03 13:56:10,Pickup Plan ID,Pcp6,,,,,,
tr11,2024-05-03 13:56:10,Scheduled Pickup Weight,,,,,9362.5,,
